Study_id,Species,Taxonomy,Class_name,Order_name,Family_name,Migratory_behaviour,Biological_archives,Tags_type,N_analysis,Life_stage,Instrument,Ablation_type,Beam_diameter,Beam_interval,Laser_fluence,Scan_speed,Reference_materials,LODs,Recovery_values,Analysis_type,Element_composition,Sample_date,Publication_date,Rawdata_name,Reference
0129bf27e357d807d600f118f9eee01d02d6cc2f,Chimaera monstrosa,Chondrichthyes,Chondrichthyes,Chimaeriformes,Chimaeridae,Oceanodromous,Muscle,Stable isotope,15,Mixed,CF-IRMS,NA,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d15N,2011,2014,Fig.1,"Navarro, J., Albo-Puigserver, M., Coll, M., Saez, R., Forero, M. G., & Kutcha, R. (2014). Isotopic discrimination of stable isotopes of nitrogen (d15N) and carbon (d13C) in a host-specific holocephalan tapeworm. Journal of helminthology, 88(3), 371-375."
012af2ffb8039bde7bf4b6c85d66e3903c35f258,Carcharhinus leucas,Chondrichthyes,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Amphidromous,Fin,Stable isotope,19,Juvenile,IRMS,NA,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d15N,2005-2008,2010,Fig.2;Fig3;Fig4,"Matich, P., Heithaus, M. R., & Layman, C. A. (2010). Size-based variation in intertissue comparisons of stable carbon and nitrogen isotopic signatures of bull sharks (Carcharhinus leucas) and tiger sharks (Galeocerdo cuvier). Canadian Journal of Fisheries and Aquatic Sciences, 67(5), 877-885."
012af2ffb8039bde7bf4b6c85d66e3903c35f258,Carcharhinus leucas,Chondrichthyes,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Amphidromous,Muscle,Stable isotope,27,Juvenile,IRMS,NA,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d15N,2005-2008,2010,Fig.2;Fig3;Fig4,"Matich, P., Heithaus, M. R., & Layman, C. A. (2010). Size-based variation in intertissue comparisons of stable carbon and nitrogen isotopic signatures of bull sharks (Carcharhinus leucas) and tiger sharks (Galeocerdo cuvier). Canadian Journal of Fisheries and Aquatic Sciences, 67(5), 877-885."
012af2ffb8039bde7bf4b6c85d66e3903c35f258,Carcharhinus leucas,Chondrichthyes,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Amphidromous,Blood,Stable isotope,34,Juvenile,IRMS,NA,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d15N,2005-2008,2010,Fig.2;Fig3;Fig4,"Matich, P., Heithaus, M. R., & Layman, C. A. (2010). Size-based variation in intertissue comparisons of stable carbon and nitrogen isotopic signatures of bull sharks (Carcharhinus leucas) and tiger sharks (Galeocerdo cuvier). Canadian Journal of Fisheries and Aquatic Sciences, 67(5), 877-885."
012af2ffb8039bde7bf4b6c85d66e3903c35f258,Galeocerdo cuvier,Chondrichthyes,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Oceanodromous,Fin,Stable isotope,46,Adult,IRMS,NA,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d15N,2005-2008,2010,Fig.2;Fig3;Fig4,"Matich, P., Heithaus, M. R., & Layman, C. A. (2010). Size-based variation in intertissue comparisons of stable carbon and nitrogen isotopic signatures of bull sharks (Carcharhinus leucas) and tiger sharks (Galeocerdo cuvier). Canadian Journal of Fisheries and Aquatic Sciences, 67(5), 877-885."
012af2ffb8039bde7bf4b6c85d66e3903c35f258,Galeocerdo cuvier,Chondrichthyes,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Oceanodromous,Blood,Stable isotope,46,Adult,IRMS,NA,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d15N,2005-2008,2010,Fig.2;Fig3;Fig4,"Matich, P., Heithaus, M. R., & Layman, C. A. (2010). Size-based variation in intertissue comparisons of stable carbon and nitrogen isotopic signatures of bull sharks (Carcharhinus leucas) and tiger sharks (Galeocerdo cuvier). Canadian Journal of Fisheries and Aquatic Sciences, 67(5), 877-885."
012f25be1227de1402d8df2257721ead2c868519,Salmo salar,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Diadromous and potamodromous,Scale,Stable isotope,1919,Mixed,CF-IRMS,NA,NA,NA,NA,NA,USGS-40,NA,NA,Point,d13C;d15N,2001;2002;2004;2007,2020,Fig.2;Fig4;Fig5,"Almodovar, A.  Nicola, G. G.  Ayllon, D.  Trueman, C. N.  Davidson, I.  Kennedy, R.  & Elvira, B. (2020). Stable isotopes suggest the location of marine feeding grounds of South European Atlantic salmon in Greenland. ICES Journal of Marine Science, 77(2), 593-603."
0133ff79ae9b7b6a081003a4ade10382df2bbd82,Carcharhinus leucas,Chondrichthyes,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Amphidromous,Vertebra,Stable isotope,109,Juvenile,IRMS,Microdrilling,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d18O,2013-2016,2020,Fig.3,"TinHan, T. C., O'Leary, S. J., Portnoy, D. S., Rooker, J. R., Gelpi, C. G., & Wells, R. D. (2020). Natural tags identify nursery origin of a coastal elasmobranch Carcharhinus leucas. Journal of Applied Ecology, 57(7), 1222-1232."
0133ff79ae9b7b6a081003a4ade10382df2bbd82,Carcharhinus leucas,Chondrichthyes,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Amphidromous,Vertebra,Trace element,109,Juvenile,LA-ICP-MS,Laser ablation,80,NA,8.08,NA,NIST614,NA,NA,Point,Ba;Ca;Cu;Li;Mg;Mn;Sr;Zn,2013-2016,2020,Fig.3,"TinHan, T. C., O'Leary, S. J., Portnoy, D. S., Rooker, J. R., Gelpi, C. G., & Wells, R. D. (2020). Natural tags identify nursery origin of a coastal elasmobranch Carcharhinus leucas. Journal of Applied Ecology, 57(7), 1222-1232."
016f5a57798e7d51286dd8df38cbc2d9a5a591ba,Gasterosteus aculeatus,Osteichthyes,Actinopterygii,Gasterosteiformes,Gasterosteidae,Partial migratory,Otolith,Trace element,23,Mixed,WD-EM,Microdrilling,2,2,NA,NA,CaCO3;SrCO3,NA,NA,Line,Ca;Sr,2003,2006,Fig.2,"Kume, M.  Kuwahara, T.  Arai, T.  Okamoto, M.  & Goto, A. (2006). A part of the Japan Sea form of the threespine stickleback, Gasterosteus aculeatus, spawns in the seawater tidal pools of western Hokkaido Island, Japan. Environmental Biology of Fishes, 77(2), 169-175."
01e519ebf2e145c1b12bfeb234c5010dada8c405,Sciaenops ocellatus,Osteichthyes,Actinopterygii,Perciformes,Sciaenidae,Multiple diadromous,Muscle,Stable isotope,201,Mixed,IRMS,NA,NA,NA,NA,NA,USGS-40;USGS-41a,NA,NA,Point,d13C;d15N,NA,2022,Fig.2;Fig.3;Fig4;Fig6,"Walther, B. D., & Torrance, L. E. (2022). Quantifying euryhaline histories in red drum Sciaenops ocellatus: otolith chemistry and muscle isotope ratios. Journal of Fish Biology."
01e519ebf2e145c1b12bfeb234c5010dada8c405,Sciaenops ocellatus,Osteichthyes,Actinopterygii,Perciformes,Sciaenidae,Multiple diadromous,Otolith,Trace element,97,Mixed,LA-ICP-MS,Laser ablation,35,NA,NA,15,NIST612;MACS-3,NA,NIST612{Ba:104%},Line,Ba;Ca,NA,2022,Fig.2;Fig.3;Fig4;Fig6,"Walther, B. D., & Torrance, L. E. (2022). Quantifying euryhaline histories in red drum Sciaenops ocellatus: otolith chemistry and muscle isotope ratios. Journal of Fish Biology."
01e9226969a6e0c696c1b8841851d55336fcaa37,Anguilla anguilla,Osteichthyes,Actinopterygii,Anguilliformes,Anguillidae,Multiple diadromous,Otolith,Trace element,81,Mixed,fs-LA-ICP-MS,Laser ablation,80,NA,NA,5,NIES-022,Ba:32ng/g;Sr:767ng/g,NA,Line,Ba;Ca;Sr,2005;2006;2007,2010,Fig.4;Fig5;Fig6,"Tabouret, H.  Bareille, G.  Claverie, F.  Pecheyran, C.  Prouzet, P.  & Donard, O. F. X. (2010). Simultaneous use of strontium: calcium and barium: calcium ratios in otoliths as markers of habitat: application to the European eel (Anguilla anguilla) in the Adour basin, South West France. Marine Environmental Research, 70(1), 35-45."
020cde266b9cf6e2b66fa613df8d2356b851a73c,Oncorhynchus masou,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Anadromous,Otolith,Trace element,14,Mixed,WD-EM,Microdrilling,5,5,NA,NA,CaCO3;SrCO3,NA,NA,Line,Ca;Sr,1991;1993-1994;1997,1998,Fig.1,"Arai, T.  & Tsukamoto, K. (1998). Application of otolith Sr: Ca ratios to estimate the migratory history of masu salmon, Oncorhynchus masou. Ichthyological Research, 45(3), 309-313."
021ee1a92973d1c485909facdad10ea3a4f36283,Oncorhynchus tshawytscha,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Anadromous,Otolith,Stable isotope,88,Adult,LA-MC-ICP-MS,Laser ablation,60,NA,NA,NA,NA,NA,NA,Point,Sr8786,2002,2016,Fig.5,"Johnson, R. C.  Garza, J. C.  MacFarlane, R. B.  Grimes, C. B.  Phillis, C. C.  Koch, P. L.  . . & Carr, M. H. (2016). Isotopes and genes reveal freshwater origins of Chinook salmon Oncorhynchus tshawytscha aggregations in California's coastal ocean. Marine Ecology Progress Series, 548, 181-196."
0237a51977a1930ae29bfcb5b97cd1de043c51d3,Menidia menidia,Osteichthyes,Actinopterygii,Atheriniformes,Atherinopsidae,Multiple diadromous,Otolith,Trace element,250,Juvenile,LA-ICP-MS,Laser ablation,55,NA,NA,10,FEBS-01,NA,NA,Point,Ba;Ca;Cu;Mg;Mn;Pb;Sr,2003;2004,2009,Fig.2,"Clarke, L. M.  Walther, B. D.  Munch, S. B.  Thorrold, S. R.  & Conover, D. O. (2009). Chemical signatures in the otoliths of a coastal marine fish, Menidia menidia, from the northeastern United States: spatial and temporal differences. Marine Ecology Progress Series, 384, 261-271."
0237a51977a1930ae29bfcb5b97cd1de043c51d3,Menidia menidia,Osteichthyes,Actinopterygii,Atheriniformes,Atherinopsidae,Multiple diadromous,Otolith,Stable isotope,250,Juvenile,IRMS,NA,NA,NA,NA,NA,NBS-19,NA,NA,Point,d13C;d18O,2003;2004,2009,Fig.2,"Clarke, L. M.  Walther, B. D.  Munch, S. B.  Thorrold, S. R.  & Conover, D. O. (2009). Chemical signatures in the otoliths of a coastal marine fish, Menidia menidia, from the northeastern United States: spatial and temporal differences. Marine Ecology Progress Series, 384, 261-271."
026d29c70dfdb6e3c76f4574799a2c0ffe619c3f,Scomberomorus niphonius,Osteichthyes,Actinopterygii,Perciformes,Scombridae,Oceanodromous,Otolith,Trace element,10,Adult,LA-ICP-MS,Laser ablation,40,NA,9.29,NA,NIST612;MACS-3,NA,NA,Line,Ba;Co;Fe;Li;Mg;Na;Sr,2016,2019,Fig2;Fig.4,"Pan, X.  Zhang, C.  Ye, Z.  Xu, B.  Li, J.  Liu, Y.  . . & Tian, Y. (2019). Trace elements in the otoliths of the Japanese Spanish mackerel (Scomberomorus niphonius) in the southern Yellow Sea. Journal of Fisheries of China, 43(4), 907-916."
029b534798a77d2971479d339f8fadae2cc1d7a5,Mugil cephalus,Osteichthyes,Actinopterygii,Mugiliformes,Mugilidae,Catadromous,Otolith,Stable isotope,7,Adult,IRMS,Microdrilling,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d18O,1997,1992,Tab.2;Tab.3,"Meyer-Rochow, V. B.  Cook, I.  & Hendy, C. H. (1992). How to obtain clues from the otoliths of an adult fish about the aquatic environment it has been in as a larva. Comparative Biochemistry and Physiology Part A: Physiology, 103(2), 333-335."
02f8dc4a0a3067222328c9a79f963c263af93974,Alosa pseudoharengus,Osteichthyes,Actinopterygii,Clupeiformes,Clupeidae,Diadromous and potamodromous,Otolith,Stable isotope,256,Juvenile,IRMS,Microdrilling,NA,NA,NA,NA,NBS-19,NA,NA,Point,d13C;d18O,2001;2002,2005,Fig3;Fig.4,"Dufour, E., Patterson, W. P., Hook, T. O., & Rutherford, E. S. (2005). Early life history of Lake Michigan alewives (Alosa pseudoharengus) inferred from intra-otolith stable isotope ratios. Canadian Journal of Fisheries and Aquatic Sciences, 62(10), 2362-2370."
032f819b286fdd6d56e13065970335db35cabf10,Oncorhynchus tshawytscha,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Anadromous,Otolith,Stable isotope,133,Mixed,TIMS,NA,NA,NA,NA,NA,NA,NA,NA,Point,Sr8786,2009;2010;2011,2014,Tab.1,"Bourret, S. L.  Kennedy, B. P.  Caudill, C. C.  & Chittaro, P. M. (2014). Using otolith chemical and structural analysis to investigate reservoir habitat use by juvenile Chinook salmon Oncorhynchus tshawytscha. Journal of Fish Biology, 85(5), 1507-1525."
